Fecha Ingreso,Producto,Cantidades,Costo Unit
6-feb-20,Sauce - Hp,2,44
4-nov-20,Mushroom Morel Fresh,2,44
4-feb-20,Tomato Puree,2,44
27-dic-21,Carbonated Water - Blackberry,2,44
8-abr-21,Carbonated Water - Blackberry,2,44
19-abr-22,Mushroom Morel Fresh,2,44
13-ago-21,Sauce - Hp,1,44
13-dic-20,Tomato Puree,2,44
24-oct-21,Sauce - Hp,1,44
30-oct-21,Carbonated Water - Blackberry,3,44
5-may-20,Tomato Puree,3,44
29-ene-21,Mushroom Morel Fresh,2,44
27-nov-20,Sauce - Hp,2,44
8-ene-22,Carbonated Water - Blackberry,2,44
23-feb-20,Mushroom Morel Fresh,1,44
3-may-21,Tomato Puree,3,44
11-dic-21,Mushroom Morel Fresh,2,44
6-oct-21,Tomato Puree,1,44
11-may-22,Sauce - Hp,2,44
15-feb-22,Carbonated Water - Blackberry,2,44
23-ago-21,Mushroom Morel Fresh,2,44
30-abr-21,Carbonated Water - Blackberry,1,44
1-feb-22,Sauce - Hp,2,44
26-abr-22,Tomato Puree,3,44
18-abr-22,Tomato Puree,1,44
1-abr-22,Mushroom Morel Fresh,2,44
28-ago-21,Carbonated Water - Blackberry,2,44
14-ene-22,Sauce - Hp,3,44
17-mar-21,Sauce - Hp,2,44
22-may-21,Tomato Puree,2,44
14-feb-22,Mushroom Morel Fresh,1,44
24-jul-22,Carbonated Water - Blackberry,1,44
24-nov-21,Mushroom Morel Fresh,1,44
20-jun-21,Tomato Puree,3,44
26-feb-22,Sauce - Hp,3,44
1-oct-21,Carbonated Water - Blackberry,2,44
18-oct-21,Tomato Puree,3,44
3-ago-21,Mushroom Morel Fresh,2,44
3-jun-21,Sauce - Hp,2,44
23-ene-20,Carbonated Water - Blackberry,2,44
29-may-20,Mushroom Morel Fresh,2,44
27-ago-21,Sauce - Hp,1,44
16-oct-21,Carbonated Water - Blackberry,2,44
16-may-22,Tomato Puree,2,44
3-sep-21,Carbonated Water - Blackberry,3,44
23-jun-20,Tomato Puree,1,44
18-jul-22,Mushroom Morel Fresh,2,44
5-abr-22,Sauce - Hp,2,44
14-feb-21,Sauce - Hp,2,44
19-ene-22,Tomato Puree,3,44
21-may-20,Carbonated Water - Blackberry,2,44
4-ene-22,Mushroom Morel Fresh,2,44
14-dic-21,Mushroom Morel Fresh,3,44
28-nov-21,Sauce - Hp,1,44
15-dic-20,Carbonated Water - Blackberry,1,44
3-jul-22,Tomato Puree,1,44
15-jun-21,Sauce - Hp,2,44
17-abr-20,Carbonated Water - Blackberry,3,44
2-may-21,Tomato Puree,1,44
7-jul-21,Mushroom Morel Fresh,1,44
22-feb-20,Mushroom Morel Fresh,3,44
11-ago-21,Tomato Puree,3,44
21-ago-20,Sauce - Hp,1,44
28-abr-21,Carbonated Water - Blackberry,3,44
17-jul-20,Carbonated Water - Blackberry,3,44
2-may-22,Tomato Puree,2,44
23-dic-20,Sauce - Hp,3,44
30-ene-20,Mushroom Morel Fresh,1,44
26-ago-20,Mushroom Morel Fresh,2,44
25-abr-20,Carbonated Water - Blackberry,1,44
18-sep-21,Sauce - Hp,2,44
14-feb-20,Tomato Puree,3,44
1-mar-20,Mushroom Morel Fresh,3,44
6-may-20,Tomato Puree,2,44
1-nov-21,Sauce - Hp,1,44
4-feb-21,Carbonated Water - Blackberry,2,44
5-ago-21,Sauce - Hp,1,44
17-ago-21,Tomato Puree,1,44
8-abr-21,Carbonated Water - Blackberry,1,44
14-abr-20,Mushroom Morel Fresh,1,44
21-oct-21,Tomato Puree,3,44
28-oct-21,Mushroom Morel Fresh,1,44
11-may-21,Sauce - Hp,1,44
29-abr-20,Carbonated Water - Blackberry,3,44
11-jul-22,Sauce - Hp,1,44
15-may-21,Tomato Puree,1,44
2-feb-21,Carbonated Water - Blackberry,1,44
28-jul-21,Mushroom Morel Fresh,1,44
29-abr-21,Mushroom Morel Fresh,2,44
8-nov-21,Wine - Gewurztraminer Pierre,2,2
17-feb-22,Dish Towel,2,2
26-feb-20,Sproutsmustard Cress,1,2
16-sep-21,Wine - Gewurztraminer Pierre,2,2
31-ago-21,Dish Towel,3,2
26-ene-21,Sproutsmustard Cress,2,2
14-abr-21,Wine - Gewurztraminer Pierre,2,2
18-sep-20,Sproutsmustard Cress,1,2
30-may-22,Dish Towel,3,2
26-jun-22,Wine - Gewurztraminer Pierre,3,2
3-mar-21,Sproutsmustard Cress,2,2
23-jun-21,Dish Towel,3,2
21-nov-21,Wine - Gewurztraminer Pierre,2,2
17-sep-20,Dish Towel,2,2
24-ene-21,Sproutsmustard Cress,2,2
19-jun-21,Sproutsmustard Cress,2,2
25-ene-21,Dish Towel,3,2
30-jun-22,Wine - Gewurztraminer Pierre,1,2
16-mar-22,Wine - Gewurztraminer Pierre,2,2
19-may-21,Dish Towel,3,2
8-jun-22,Sproutsmustard Cress,3,2
26-may-21,Dish Towel,2,2
29-ago-21,Sproutsmustard Cress,2,2
30-jul-22,Wine - Gewurztraminer Pierre,3,2
12-jun-21,Sproutsmustard Cress,2,2
4-dic-21,Wine - Gewurztraminer Pierre,2,2
7-abr-22,Dish Towel,2,2
18-may-22,Wine - Gewurztraminer Pierre,1,2
1-ago-20,Sproutsmustard Cress,1,2
15-ene-21,Dish Towel,3,2
2-jul-22,Sproutsmustard Cress,1,2
29-jun-22,Dish Towel,3,2
30-ene-22,Wine - Gewurztraminer Pierre,3,2
20-jun-21,Sproutsmustard Cress,1,2
31-ago-21,Dish Towel,2,2
12-jul-21,Wine - Gewurztraminer Pierre,2,2
29-jul-21,Dish Towel,3,2
17-mar-21,Sproutsmustard Cress,1,2
29-sep-21,Wine - Gewurztraminer Pierre,2,2
29-ago-21,Wine - Gewurztraminer Pierre,1,2
1-feb-20,Dish Towel,3,2
13-mar-22,Sproutsmustard Cress,1,2
2-nov-20,Dish Towel,3,2
21-abr-20,Wine - Gewurztraminer Pierre,2,2
1-dic-20,Sproutsmustard Cress,3,2
8-ago-20,Wine - Gewurztraminer Pierre,3,2
27-jul-20,Dish Towel,3,2
18-mar-20,Sproutsmustard Cress,1,2
8-jun-21,Wine - Gewurztraminer Pierre,1,2
22-feb-20,Sproutsmustard Cress,3,2
28-jul-20,Dish Towel,1,2
23-may-22,Sproutsmustard Cress,1,2
9-oct-21,Wine - Gewurztraminer Pierre,3,2
19-ene-20,Dish Towel,3,2
28-may-21,Wine - Gewurztraminer Pierre,1,2
15-ene-22,Dish Towel,1,2
4-sep-21,Sproutsmustard Cress,1,2
31-may-20,Dish Towel,2,2
12-ene-20,Wine - Gewurztraminer Pierre,2,2
14-abr-21,Sproutsmustard Cress,3,2
18-dic-21,Sproutsmustard Cress,2,2
31-ene-21,Dish Towel,1,2
30-dic-20,Wine - Gewurztraminer Pierre,2,2
12-jun-22,Wine - Gewurztraminer Pierre,2,2
12-jul-21,Dish Towel,2,2
5-oct-20,Sproutsmustard Cress,2,2
29-may-21,Halibut - Fletches,2,37
21-sep-21,Carbonated Water - Peach,2,46
1-ene-22,Ice Cream Bar - Hagen Daz,3,28
26-dic-20,Flower - Commercial Bronze,1,40
28-jul-21,Basil - Dry Rubbed,1,13
14-ene-21,Coffee Cup 16oz Foam,2,30
9-jun-22,Soup - Canadian Pea Dry Mix,2,14
8-jul-20,Beef - Roasted Cooked,3,39
25-dic-21,Liners - Baking Cups,3,50
20-oct-20,Icecream Cone - Areo Chocolate,2,43
23-ago-21,Beer - Corona,1,35
31-ene-20,Soup V8 Roasted Red Pepper,2,38
22-ago-21,Lamb - Whole Frozen,3,25
5-feb-21,Juice - Lagoon Mango,2,34
3-oct-21,Fiddlehead - Frozen,1,13
7-mar-21,Pancetta,1,45
5-abr-22,Bread - Rolls- Rye,3,41
23-oct-21,Ham - Virginia,3,27
6-jul-21,Cabbage - Savoy,2,40
4-abr-21,Bread - Rye,1,7
20-jul-20,Plastic Arrow Stir Stick,3,46
15-oct-20,Longos - Burritos,3,16
25-jun-21,Beer - Corona,1,21
11-abr-21,Wine - Shiraz South Eastern,1,19
4-abr-20,Foil Wrap,2,24
23-jul-21,Instant Coffee,3,25
17-nov-21,Lettuce - Lolla Rosa,2,39
14-feb-21,Wine - Rioja Campo Viejo,2,3
27-feb-21,Pants Custom Dry Clean,2,26
18-jul-21,Apple - Granny Smith,3,17
18-mar-21,Cheese - Brick With Pepper,2,48
9-mar-20,Paper Towel Touchless,3,7
13-sep-21,Initation Crab Meat,3,28
5-oct-21,Icecream Cone - Areo Chocolate,1,43
25-abr-22,Ice Cream Bar - Hagen Daz,2,28
5-oct-20,Basil - Dry- Rubbed,3,13
6-dic-21,Halibut - Fletches,3,37
1-mar-20,Beef - Roasted- Cooked,3,39
6-jul-20,Coffee Cup 16oz Foam,2,30
21-may-20,Paper Towel Touchless,1,7
28-ene-20,Instant Coffee,2,25
27-jun-21,Flower - Commercial Bronze,1,40
1-jun-21,Cheese - Brick With Pepper,1,48
25-ene-20,Wine - Shiraz South Eastern,3,19
18-feb-22,Ham - Virginia,1,27
21-abr-22,Wine - Rioja Campo Viejo,3,3
15-dic-20,Pancetta,3,45
12-dic-20,Soup V8 Roasted Red Pepper,2,38
5-abr-20,Initation Crab Meat,2,28
3-feb-21,Longos - Burritos,1,16
22-jun-20,Apple - Granny Smith,3,17
24-jul-22,Juice - Lagoon Mango,3,34
9-jun-21,Liners - Baking Cups,3,50
20-ene-20,Plastic Arrow Stir Stick,2,46
7-abr-21,Pants Custom Dry Clean,3,26
9-nov-20,Fiddlehead - Frozen,3,13
6-abr-22,Lettuce - Lolla Rosa,2,39
21-mar-21,Beer - Corona,1,21
28-mar-20,Soup - Canadian Pea- Dry Mix,1,14
25-feb-22,Cabbage - Savoy,3,40
5-jul-20,Carbonated Water - Peach,3,46
12-abr-22,Foil Wrap,1,24
9-ago-20,Bread - Rolls-Rye,3,41
19-nov-20,Lamb - Whole-Frozen,2,25
21-feb-22,Beer - Corona,2,35
13-jun-20,Bread - Rye,3,7
10-sep-20,Longos - Burritos,3,16
19-nov-21,Soup - Canadian Pea, Dry Mix,2,14
22-mar-22,Flower - Commercial Bronze,2,40
31-may-20,Soup V8 Roasted Red Pepper,3,38
23-dic-20,Ham - Virginia,3,27
8-nov-20,Foil Wrap,1,24
20-jun-22,Bread - Rolls- Rye,3,41
17-oct-21,Ice Cream Bar - Hagen Daz,1,28
22-jun-22,Initation Crab Meat,2,28
7-oct-20,Beer - Corona,1,21
28-feb-22,Juice - Lagoon Mango,1,34
26-ene-21,Beef - Roasted- Cooked,2,39
16-abr-20,Wine - Shiraz South Eastern,1,19
20-abr-21,Coffee Cup 16oz Foam,3,30
29-sep-21,Halibut - Fletches,3,37
2-nov-20,Bread - Rye,3,7
2-oct-20,Apple - Granny Smith,3,17
26-may-21,Pancetta,1,45
21-jun-20,Cabbage - Savoy,1,40
19-ene-22,Beer - Corona,3,35
4-dic-20,Plastic Arrow Stir Stick,2,46
22-may-22,Instant Coffee,3,25
6-jul-21,Lettuce - Lolla Rosa,1,39
26-may-21,Basil - Dry- Rubbed,1,13
28-ene-20,Carbonated Water - Peach,2,46
13-oct-20,Lamb - Whole- Frozen,3,25
20-ene-20,Liners - Baking Cups,1,50
21-feb-22,Cheese - Brick With Pepper,1,48
30-mar-21,Pants Custom Dry Clean,2,26
25-feb-21,Paper Towel Touchless,1,7
11-abr-21,Wine - Rioja Campo Viejo,2,3
5-jun-22,Fiddlehead - Frozen,2,13
2-feb-22,Icecream Cone - Areo Chocolate,3,43
7-sep-20,Basil - Dry- Rubbed,1,13
17-sep-20,Carbonated Water - Peach,3,46
11-jul-20,Foil Wrap,2,24
15-dic-21,Initation Crab Meat,1,28
22-feb-21,Flower - Commercial Bronze,1,40
18-may-20,Wine - Shiraz South Eastern,3,19
8-ago-20,Cabbage - Savoy,2,40
14-abr-20,Bread - Rye,3,7
29-ago-20,Pants Custom Dry Clean,2,26
28-abr-22,Apple - Granny Smith,2,17
21-nov-21,Lamb - Whole- Frozen,3,25
20-dic-20,Juice - Lagoon Mango,1,34
30-ago-21,Lettuce - Lolla Rosa,3,39
6-jun-22,Coffee Cup 16oz Foam,3,30
25-may-20,Instant Coffee,1,25
29-dic-21,Beef - Roasted- Cooked,1,39
19-feb-22,Plastic Arrow Stir Stick,3,46
13-may-21,Ham - Virginia,2,27
15-ene-21,Cheese - Brick With Pepper,1,48
25-mar-20,Bread - Rolls- Rye,3,41
24-may-22,Icecream Cone - Areo Chocolate,3,43
27-nov-20,Ice Cream Bar - Hagen Daz,3,28
28-sep-21,Liners - Baking Cups,1,50
26-sep-20,Wine - Rioja Campo Viejo,2,3
3-mar-20,Halibut - Fletches,2,37
20-nov-21,Paper Towel Touchless,1,7
28-dic-21,Beer - Corona,3,21
10-may-20,Longos - Burritos,3,16
25-jun-21,Pancetta,2,45
4-may-20,Soup V8 Roasted Red Pepper,2,38
18-feb-22,Fiddlehead - Frozen,2,13
3-sep-21,Beer - Corona,3,35
26-ago-21,Soup - Canadian Pea-Dry Mix,1,14
11-may-20,Fiddlehead - Frozen,1,13
30-jul-22,Wine - Shiraz South Eastern,3,19
6-abr-21,Lamb - Whole- Frozen,3,25
6-dic-20,Pancetta,2,45
19-nov-21,Coffee Cup 16oz Foam,1,30
29-ene-22,Soup - Canadian Pea- Dry Mix,1,14
15-jul-20,Pants Custom Dry Clean,1,26
13-may-21,Basil - Dry- Rubbed,1,13
17-nov-20,Initation Crab Meat,2,28
24-nov-21,Plastic Arrow Stir Stick,1,46
11-ene-21,Bread - Rolls, Rye,1,41
27-oct-21,Ice Cream Bar - Hagen Daz,1,28
8-ago-20,Instant Coffee,3,25
27-jul-21,Carbonated Water - Peach,3,46
12-abr-22,Ham - Virginia,3,27
4-may-20,Cheese - Brick With Pepper,1,48
6-ene-21,Wine - Rioja Campo Viejo,2,3
15-jun-21,Paper Towel Touchless,3,7
11-may-21,Soup V8 Roasted Red Pepper,1,38
6-jul-21,Beer - Corona,1,21
25-mar-22,Juice - Lagoon Mango,2,34
28-oct-21,Icecream Cone - Areo Chocolate,3,43
27-jul-21,Cabbage - Savoy,2,40
13-ene-21,Lettuce - Lolla Rosa,3,39
13-ago-21,Foil Wrap,3,24
12-ago-20,Liners - Baking Cups,1,50
4-mar-21,Apple - Granny Smith,2,17
8-abr-21,Flower - Commercial Bronze,2,40
17-ene-21,Longos - Burritos,2,16
19-mar-21,Beef - Roasted- Cooked,2,39
30-abr-22,Halibut - Fletches,2,37
24-mar-21,Beer - Corona,3,35
6-jun-22,Bread - Rye,1,7
3-may-20,Lettuce - Lolla Rosa,2,39
24-may-20,Soup V8 Roasted Red Pepper,2,38
2-ago-20,Coffee Cup 16oz Foam,1,30
23-ene-22,Beer - Corona,2,35
31-mar-21,Ham - Virginia,3,27
15-abr-20,Bread - Rye,2,7
10-jul-22,Soup - Canadian Pea, Dry Mix,1,14
26-oct-20,Foil Wrap,2,24
3-sep-21,Beef - Roasted, Cooked,2,39
26-sep-20,Lamb - Whole, Frozen,2,25
25-ago-21,Flower - Commercial Bronze,3,40
20-may-21,Beer - Corona,2,21
14-may-22,Bread - Rolls, Rye,3,41
17-ago-21,Pancetta,1,45
16-feb-21,Wine - Shiraz South Eastern,3,19
29-oct-21,Carbonated Water - Peach,3,46
12-dic-21,Pants Custom Dry Clean,3,26
10-ene-20,Icecream Cone - Areo Chocolate,1,43
10-mar-20,Longos - Burritos,2,16
9-mar-21,Cheese - Brick With Pepper,2,48
29-jun-20,Cabbage - Savoy,3,40
6-ene-22,Plastic Arrow Stir Stick,2,46
21-nov-20,Juice - Lagoon Mango,1,34
1-abr-20,Ice Cream Bar - Hagen Daz,2,28
25-nov-20,Halibut - Fletches,2,37
27-jul-21,Liners - Baking Cups,3,50
9-jul-22,Instant Coffee,2,25
9-sep-21,Basil - Dry, Rubbed,1,13
8-ene-22,Paper Towel Touchless,2,7
27-abr-20,Initation Crab Meat,2,28
1-jun-21,Apple - Granny Smith,2,17
23-feb-22,Fiddlehead - Frozen,3,13
11-ago-20,Wine - Rioja Campo Viejo,2,3
9-mar-22,Flower - Commercial Bronze,2,40
4-dic-21,Ham - Virginia,2,27
28-mar-20,Paper Towel Touchless,2,7
8-jun-22,Lettuce - Lolla Rosa,2,39
27-ene-22,Liners - Baking Cups,2,50
19-jun-22,Coffee Cup 16oz Foam,3,30
7-nov-21,Apple - Granny Smith,2,17
19-mar-21,Soup V8 Roasted Red Pepper,2,38
28-abr-21,Pancetta,1,45
3-abr-21,Plastic Arrow Stir Stick,3,46
29-feb-20,Icecream Cone - Areo Chocolate,3,43
27-jul-21,Juice - Lagoon Mango,1,34
20-abr-22,Pants Custom Dry Clean,2,26
11-oct-21,Carbonated Water - Peach,1,46
27-dic-20,Bread - Rye,1,7
27-jun-20,Initation Crab Meat,2,28
28-abr-22,Wine - Shiraz South Eastern,1,19
12-abr-20,Soup - Canadian Pea, Dry Mix,1,14
6-ago-21,Ice Cream Bar - Hagen Daz,2,28
15-abr-22,Bread - Rolls, Rye,1,41
16-sep-20,Instant Coffee,2,25
22-jun-22,Beef - Roasted, Cooked,2,39
18-ago-20,Wine - Rioja Campo Viejo,1,3
8-may-22,Fiddlehead - Frozen,1,13
9-ago-21,Beer - Corona,2,35
23-feb-21,Basil - Dry, Rubbed,1,13
3-sep-20,Beer - Corona,1,21
29-mar-22,Lamb - Whole, Frozen,3,25
23-jun-21,Longos - Burritos,3,16
31-mar-22,Cabbage - Savoy,3,40
19-ago-20,Foil Wrap,3,24
14-nov-20,Cheese - Brick With Pepper,3,48
24-jun-22,Halibut - Fletches,3,37
31-ago-21,Pancetta,1,45
1-ago-21,Pants Custom Dry Clean,3,26
2-nov-21,Lettuce - Lolla Rosa,2,39
12-ene-22,Wine - Rioja Campo Viejo,3,3
13-sep-20,Flower - Commercial Bronze,3,40
2-oct-21,Paper Towel Touchless,2,7
10-dic-21,Carbonated Water - Peach,2,46
13-jun-20,Initation Crab Meat,3,28
30-abr-22,Beef - Roasted, Cooked,3,39
24-mar-21,Beer - Corona,1,21
5-feb-21,Longos - Burritos,1,16
15-may-22,Foil Wrap,2,24
7-may-21,Ham - Virginia,2,27
29-jul-20,Icecream Cone - Areo Chocolate,2,43
16-mar-20,Liners - Baking Cups,1,50
9-may-20,Bread - Rye,3,7
26-dic-20,Bread - Rolls, Rye,3,41
20-jun-22,Basil - Dry, Rubbed,3,13
10-jun-22,Plastic Arrow Stir Stick,1,46
2-jun-21,Ice Cream Bar - Hagen Daz,2,28
19-feb-22,Apple - Granny Smith,3,17
4-abr-21,Coffee Cup 16oz Foam,3,30
26-sep-21,Beer - Corona,1,35
14-sep-21,Juice - Lagoon Mango,3,34
13-mar-20,Instant Coffee,2,25
23-ene-22,Fiddlehead - Frozen,1,13
31-oct-20,Cabbage - Savoy,2,40
15-nov-20,Lamb - Whole, Frozen,2,25
21-ago-20,Halibut - Fletches,2,37
24-may-20,Cheese - Brick With Pepper,2,48
19-ene-20,Wine - Shiraz South Eastern,3,19
30-oct-21,Soup - Canadian Pea, Dry Mix,1,14
14-abr-20,Soup V8 Roasted Red Pepper,1,38
18-feb-20,Soup - Canadian Pea, Dry Mix,3,14
22-may-22,Lamb - Whole, Frozen,1,25
30-ene-21,Lettuce - Lolla Rosa,2,39
8-sep-20,Juice - Lagoon Mango,1,34
30-nov-20,Flower - Commercial Bronze,2,40
22-abr-22,Initation Crab Meat,3,28
2-feb-21,Cabbage - Savoy,2,40
29-abr-21,Foil Wrap,3,24
31-mar-20,Soup V8 Roasted Red Pepper,2,38
15-ene-20,Carbonated Water - Peach,1,46
17-jul-22,Ham - Virginia,3,27
14-jun-21,Apple - Granny Smith,2,17
12-ago-21,Longos - Burritos,1,16
19-abr-21,Instant Coffee,1,25
15-dic-20,Coffee Cup 16oz Foam,2,30
30-mar-20,Fiddlehead - Frozen,2,13
17-sep-21,Bread - Rye,3,7
20-feb-20,Cheese - Brick With Pepper,2,48
23-jul-21,Basil - Dry, Rubbed,3,13
26-feb-21,Wine - Rioja Campo Viejo,3,3
2-ago-21,Beer - Corona,1,35
30-ago-21,Halibut - Fletches,2,37
23-jun-22,Liners - Baking Cups,2,50
20-mar-22,Beer - Corona,3,21
13-ene-21,Pancetta,3,45
27-feb-20,Ice Cream Bar - Hagen Daz,2,28
16-oct-21,Plastic Arrow Stir Stick,1,46
